pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
H,15,3,loaf,bread,,,baguette,,,lazy,,na,loaf,,0.01,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,4,yolk,nucleus,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,15,5,occupation,job,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,6,cod,code,,,cod,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,15,7,steed ,horse,,,steed,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,8,retina,hard,,,blink,,,lens,,,iris,,0.01,patina,,,retina,,,,,,,,,,,,,,,face,English,,,3,,
H,15,9,pepperoni,pizza,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,10,sill,window,,,pane,,,still,,,sill,,,,,,,,,,,,,,,,,,,,,face,English,,"#signaller often said cues that are similar to the target in pronunciation, not in meaning - as it is difficult to find AS for these, I told him to better refer it to meaning",3,,
H,15,11,butcher,meat,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,12,grater,cheese,,,Cheddar,,,parmesan,,,grater,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,15,13,acquaintance,friend,,,buddy,,,colleague,,,acquaintance,,0.04,,,,,,,,,,,,,,,,,,,face,English,,"#sig. Said ""friend of me"" before ""colleague"" (2nd cue)",3,,
H,16,14,crescent,moon,,,eclipse,,,fertile,,0.03,crescent,0.03,na,,,,,,,,,,,,,,,,,,,face,English,,#from this trial on the guesser's face cannot be seen that clearly any more because it's dark in the room,3,,
H,15,15,bulb,light,,,illumination,,,lamp,,0.02,lantern,na,0.08,LED,,,bulb,na,na,,,,,,,,,,,,,face,English,,,3,,
H,16,16,bouquet,floral,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,15,17,crossword,puzzle,,,jigsaw,,,letters,,,crossword,na,0.01,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,18,cob,web,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,15,19,brewery,beer,,,ale,,,ferment,,,brewery,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
H,16,20,affection,smuggles,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,"#snuggles would make more sense, but I'm pretty sure she said ""smuggles""; na for either",3,,
I,17,1,bank,account,,,money,,,building,,,cash,,,river,,,bank,,,,,,,,,,,,,,,face,English,,,1,UK,
I,18,2,brewery,alcohol,,,lager,,,fermenting,,,keg,,,distillery,,,brewery,,,,,,,,,,,,,,,face,English,,,1,Central America?,
I,17,3,sill,window,,,curtain,,,ledge,,,pane,,,outside,,,glass,,,stone,,,sill,,,,,,,,,face,English,,,1,,
I,18,4,cob,melis,,,kernel,,,corn bread,,,maize,,,grains,,,husk,,,cornflakes,,,cob,,,,,,,,,face,English,,,1,,
I,17,5,retina,eye,,,iris,,,skin,,,brow,,,inside,,,pupil,,,light,,,retina,,,,,,,,,face,English,,,1,,
I,18,6,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,17,7,grater,cheese,,,cheddar,,,metal,,,grater,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,18,8,yolk,egg,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,17,9,steed,horse,,,stallion,,,trusty,,,pony,,,bride,,,steed,,,,,,,,,,,,,,,face,English,,,1,,
I,18,10,cod,rob,,,sushi,,,fish,,,salmon,,,salmon,,,cod,,,,,,,,,,,,,,,face,English,,#salmon as answer and cue,1,,
I,17,11,pepperoni,pizza,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,18,12,crossword,puzzle,,,pieces,,,Scrabble,,,crossword,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,17,13,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
I,18,14,affection,love,,,adoration,,,expressive,,,darling,,,loving,,,affection,,,,,,,,,,,,,,,face,English,,"#sig. Mumbled touchy and said clingy, guesser couldn't understand it and then sig. Said ""expressive"" as a cue",1,,
I,17,15,crescent,moon,,,sun,,,croissant,,,crescent,,,,,,,,,,,,,,,,,,,,,face,English,,,1,,
