"","target","cue","results_forward","results_backward"
"4176","Butter","zart",0.00675675675675676,NA
"4177","Butter","ranzig",0.00675675675675676,NA
"4178","Butter","weiß",0.00675675675675676,NA
"4179","Butter","Tier",0.00675675675675676,NA
"4180","Butter","zerfließen",0.00337837837837838,NA
"4181","Butter","Papier",0.00337837837837838,NA
"4182","Butter","Nutella",0.00337837837837838,NA
"4183","Butter","Morgen",0.00337837837837838,NA
"4184","Butter","schmierig",0.00337837837837838,NA
"4185","Butter","tierisch",0.00337837837837838,NA
"4186","Butter","Geschmack",0.00337837837837838,NA
"4187","Butter","salzig",0.00337837837837838,NA
"4188","Butter","Toast",0.00337837837837838,NA
"4189","Butter","Sonntag",0.00337837837837838,NA
"4190","Butter","goldgelb",0.00337837837837838,NA
"4191","Butter","Landliebe",0.00337837837837838,NA
"4192","Butter","Creme",0.00337837837837838,NA
"4193","Butter","Milchprodukt",0.00337837837837838,NA
"4194","Butter","golden",0.00337837837837838,NA
"4195","Butter","Butterdose",0.00337837837837838,NA
"4196","Butter","bestreichen",0.00337837837837838,NA
"4197","Butter","Pfanne",0.00337837837837838,NA
"4198","Butter","Abendessen",0.00337837837837838,NA
"4199","Butter","sauer",0.00337837837837838,NA
"4200","Butter","abschneiden",0.00337837837837838,NA
"4201","Butter","Kühlregal",0.00337837837837838,NA
"4202","Butter","Lätta",0.00337837837837838,NA
"4203","Butter","Irland",0.00337837837837838,NA
"4204","Butter","Luxus",0.00337837837837838,NA
"4205","Butter","Öl",0.00337837837837838,NA
"4206","Butter","süß",0.00337837837837838,NA
"4207","Butter","Teller",0.00337837837837838,NA
"4208","Butter","kalt",0.00337837837837838,NA
"4209","Butter","Brezel",0.00337837837837838,0.0103448275862069
"4210","Butter","Cholesterin",0.00337837837837838,NA
"22037","Rüstung","Ritter",0.291095890410959,0.190972222222222
"22038","Rüstung","Mittelalter",0.0719178082191781,NA
"22039","Rüstung","Burg",0.0582191780821918,0.00337837837837838
"22040","Rüstung","schwer",0.0582191780821918,NA
"22041","Rüstung","Metall",0.0479452054794521,NA
"22042","Rüstung","Kampf",0.0410958904109589,NA
"22043","Rüstung","Schutz",0.0376712328767123,NA
"22044","Rüstung","Blech",0.0308219178082192,NA
"22045","Rüstung","Eisen",0.0308219178082192,NA
"22046","Rüstung","Krieg",0.0273972602739726,NA
"22047","Rüstung","Schwert",0.023972602739726,0.013840830449827
"22048","Rüstung","Lanze",0.0136986301369863,NA
"22049","Rüstung","Museum",0.0136986301369863,NA
"22050","Rüstung","Pferd",0.0136986301369863,NA
"22051","Rüstung","Turnier",0.0136986301369863,NA
"22052","Rüstung","Silber",0.0136986301369863,NA
"22053","Rüstung","kämpfen",0.0102739726027397,NA
"22054","Rüstung","Soldat",0.0102739726027397,NA
"22055","Rüstung","alt",0.0102739726027397,NA
"22056","Rüstung","Knappe",0.00684931506849315,NA
"22057","Rüstung","unbequem",0.00684931506849315,NA
"22058","Rüstung","Schlacht",0.00684931506849315,NA
"22059","Rüstung","Burgfräulein",0.00684931506849315,NA
"22060","Rüstung","Rost",0.00684931506849315,NA
"22061","Rüstung","hart",0.00684931506849315,NA
"22062","Rüstung","rostig",0.00684931506849315,NA
"22063","Rüstung","Abrüstung",0.00684931506849315,NA
"22064","Rüstung","unhandlich",0.00342465753424658,NA
"22065","Rüstung","Wappen",0.00342465753424658,NA
"22066","Rüstung","Panzerung",0.00342465753424658,NA
"22067","Rüstung","Käfer",0.00342465753424658,NA
"22068","Rüstung","aufrüsten",0.00342465753424658,NA
